OID,Id,units,length,ORIG_FID,POINT_X,POINT_Y
-1,0,qtz-peg-pt,21.2000008,0,325817.897105999989435,6798159.931750000454485
-1,0,qtz-peg-pt,21.2000008,0,325818.041448000003584,6798159.852579999715090
-1,0,qtz-peg-pt,21.2000008,0,325818.209358000021894,6798159.743049999698997
-1,0,qtz-peg-pt,21.2000008,0,325818.387318000022788,6798159.607300000265241
-1,0,qtz-peg-pt,21.2000008,0,325818.561708000022918,6798159.448350000195205
-1,0,qtz-peg-pt,21.2000008,0,325818.698453999997582,6798159.308709999546409
-1,0,qtz-peg-pt,21.2000008,0,325818.929981999972370,6798159.080149999819696
-1,0,qtz-peg-pt,21.2000008,0,325819.104101000004448,6798158.878340000286698
-1,0,qtz-peg-pt,21.2000008,0,325819.426946000021417,6798158.550409999676049
-1,0,qtz-peg-pt,21.2000008,0,325819.747335000021849,6798158.250470000319183
-1,0,qtz-peg-pt,21.2000008,0,325820.023830000020098,6798157.948479999788105
-1,0,qtz-peg-pt,21.2000008,0,325820.144305999972858,6798157.784769999794662
-1,0,qtz-peg-pt,21.2000008,0,325820.428948000015225,6798157.483819999732077
-1,0,qtz-peg-pt,21.2000008,0,325820.662079999980051,6798157.250860000029206
-1,0,qtz-peg-pt,21.2000008,0,325820.822431000007782,6798157.116279999725521
-1,0,qtz-peg-pt,21.2000008,0,325820.995954999991227,6798156.886800000444055
-1,0,qtz-peg-pt,21.2000008,0,325821.070049999980256,6798156.689589999616146
-1,0,qtz-peg-pt,21.2000008,0,325821.112956999975722,6798156.519360000267625
-1,0,qtz-peg-pt,21.2000008,0,325821.222968999994919,6798156.337260000407696
-1,0,qtz-peg-pt,21.2000008,0,325821.399314999987837,6798156.101610000245273
-1,0,qtz-peg-pt,21.2000008,0,325821.553469999984372,6798155.943119999952614
-1,0,qtz-peg-pt,21.2000008,0,325821.694327000004705,6798155.821209999732673
-1,0,qtz-peg-pt,21.2000008,0,325821.915143000020180,6798155.643430000171065
-1,0,qtz-peg-pt,21.2000008,0,325822.099625999981072,6798155.442400000058115
-1,0,qtz-peg-pt,21.2000008,0,325822.304793999996036,6798155.243200000375509
-1,0,qtz-peg-pt,21.2000008,0,325822.484029999992345,6798155.055390000343323
-1,0,qtz-peg-pt,21.2000008,0,325822.734262000012677,6798154.787469999864697
-1,0,qtz-peg-pt,21.2000008,0,325822.968470000021625,6798154.523839999921620
-1,0,qtz-peg-pt,21.2000008,0,325823.241695999982767,6798154.312110000289977
-1,0,qtz-peg-pt,21.2000008,0,325823.421161999984179,6798154.205760000273585
-1,0,qtz-peg-pt,21.2000008,0,325823.549378999974579,6798154.167679999954998
-1,0,qtz-peg-pt,21.2000008,0,325823.772475000005215,6798154.039149999618530
-1,0,qtz-peg-pt,21.2000008,0,325823.972592999984045,6798153.927670000120997
-1,0,qtz-peg-pt,21.2000008,0,325824.249109999975190,6798153.819570000283420
-1,0,qtz-peg-pt,21.2000008,0,325824.559926000016276,6798153.771169999614358
-1,0,qtz-peg-pt,21.2000008,0,325824.755314000009093,6798153.579040000215173
-1,0,qtz-peg-pt,21.2000008,0,325824.966246000025421,6798153.442350000143051
