OID,Id,units,length,ORIG_FID,POINT_X,POINT_Y
-1,0,granitic-peg,20.7999992,1,325811.365568000008352,6798169.939749999903142
-1,0,granitic-peg,20.7999992,1,325811.418286999978591,6798169.909730000421405
-1,0,granitic-peg,20.7999992,1,325811.504988999979105,6798169.798980000428855
-1,0,granitic-peg,20.7999992,1,325811.595226000004914,6798169.712450000457466
-1,0,granitic-peg,20.7999992,1,325811.722561999980826,6798169.572909999638796
-1,0,granitic-peg,20.7999992,1,325811.893126000009943,6798169.399530000053346
-1,0,granitic-peg,20.7999992,1,325812.031156999990344,6798169.269580000080168
-1,0,granitic-peg,20.7999992,1,325812.131410999980289,6798169.155659999698400
-1,0,granitic-peg,20.7999992,1,325812.241648999974132,6798169.025510000064969
-1,0,granitic-peg,20.7999992,1,325812.361664000025485,6798168.892180000431836
-1,0,granitic-peg,20.7999992,1,325812.461559000017587,6798168.785950000397861
-1,0,granitic-peg,20.7999992,1,325812.550286000012420,6798168.700489999726415
-1,0,granitic-peg,20.7999992,1,325812.643585000012536,6798168.639290000312030
-1,0,granitic-peg,20.7999992,1,325812.762642999994569,6798168.561950000002980
-1,0,granitic-peg,20.7999992,1,325812.895617000001948,6798168.467190000228584
-1,0,granitic-peg,20.7999992,1,325813.012984999979381,6798168.373719999566674
-1,0,granitic-peg,20.7999992,1,325813.218249999976251,6798168.230320000089705
-1,0,granitic-peg,20.7999992,1,325813.338584000011906,6798168.148799999617040
-1,0,granitic-peg,20.7999992,1,325813.431179000006523,6798168.084130000323057
-1,0,granitic-peg,20.7999992,1,325813.548716999997851,6798167.984819999895990
-1,0,granitic-peg,20.7999992,1,325813.641443000000436,6798167.915339999832213
-1,0,granitic-peg,20.7999992,1,325813.730744000000414,6798167.838039999827743
-1,0,granitic-peg,20.7999992,1,325813.786266000010073,6798167.786729999817908
-1,0,granitic-peg,20.7999992,1,325813.968282999994699,6798167.618730000220239
-1,0,granitic-peg,20.7999992,1,325814.163449999992736,6798167.440790000371635
-1,0,granitic-peg,20.7999992,1,325814.245523000019602,6798167.341289999894798
-1,0,granitic-peg,20.7999992,1,325814.281651999976020,6798167.297489999793470
-1,0,granitic-peg,20.7999992,1,325814.370897000015248,6798167.225010000169277
-1,0,granitic-peg,20.7999992,1,325814.511981000017840,6798167.103229999542236
-1,0,granitic-peg,20.7999992,1,325814.663893999997526,6798167.026379999704659
-1,0,granitic-peg,20.7999992,1,325814.717835000017658,6798166.992949999868870
-1,0,granitic-peg,20.7999992,1,325814.811066000023857,6798166.959990000352263
-1,0,granitic-peg,20.7999992,1,325814.890690999978688,6798166.911100000143051
-1,0,granitic-peg,20.7999992,1,325814.996415000001434,6798166.825679999776185
-1,0,granitic-peg,20.7999992,1,325815.057318000006489,6798166.789690000005066
-1,0,granitic-peg,20.7999992,1,325815.132064000004902,6798166.753910000436008
-1,0,granitic-peg,20.7999992,1,325815.181486000015866,6798166.709769999608397
-1,0,granitic-peg,20.7999992,1,325815.268021000025328,6798166.657549999654293
-1,0,granitic-peg,20.7999992,1,325815.307873999990989,6798166.637860000133514
-1,0,granitic-peg,20.7999992,1,325815.359577000024728,6798166.591199999675155
-1,0,granitic-peg,20.7999992,1,325815.481145000027027,6798166.534959999844432
-1,0,granitic-peg,20.7999992,1,325815.628329000028316,6798166.489319999702275
-1,0,granitic-peg,20.7999992,1,325815.784232000005431,6798166.436669999733567
-1,0,granitic-peg,20.7999992,1,325815.895052000007126,6798166.366469999775290
-1,0,granitic-peg,20.7999992,1,325815.990402999974322,6798166.305340000428259
-1,0,granitic-peg,20.7999992,1,325816.094106999982614,6798166.198730000294745
-1,0,granitic-peg,20.7999992,1,325816.235709999979008,6798166.042589999735355
-1,0,granitic-peg,20.7999992,1,325816.317934999999125,6798165.970010000281036
-1,0,granitic-peg,20.7999992,1,325816.440294000029098,6798165.868599999696016
-1,0,granitic-peg,20.7999992,1,325816.488933000015095,6798165.830319999717176
-1,0,granitic-peg,20.7999992,1,325816.550883000018075,6798165.757279999554157
-1,0,granitic-peg,20.7999992,1,325816.633046999981161,6798165.695229999721050
-1,0,granitic-peg,20.7999992,1,325816.699129000015091,6798165.619749999605119
-1,0,granitic-peg,20.7999992,1,325816.787896999972872,6798165.578859999775887
-1,0,granitic-peg,20.7999992,1,325816.877037000027485,6798165.509999999776483
-1,0,granitic-peg,20.7999992,1,325816.954922000004444,6798165.431079999543726
-1,0,granitic-peg,20.7999992,1,325817.007004000013694,6798165.359269999898970
